attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 15300 | force_w 0.000 | train loss   0.2169 | valid acc 0.9615 | 0.156s / epoch | 
epoch 15400 | force_w 0.000 | train loss   0.1957 | valid acc 0.9615 | 0.156s / epoch | 
epoch 15500 | force_w 0.000 | train loss   0.2060 | valid acc 0.8462 | 0.155s / epoch | 
epoch 15600 | force_w 0.000 | train loss   0.2150 | valid acc 0.9615 | 0.156s / epoch | 
epoch 15700 | force_w 0.000 | train loss   0.2044 | valid acc 0.9615 | 0.155s / epoch | 
epoch 15800 | force_w 0.000 | train loss   0.2215 | valid acc 0.9615 | 0.156s / epoch | 
epoch 15900 | force_w 0.000 | train loss   0.2493 | valid acc 0.8462 | 0.155s / epoch | 
epoch 16000 | force_w 0.000 | train loss   0.1920 | valid acc 0.9615 | 0.157s / epoch | 
epoch 16100 | force_w 0.000 | train loss   0.2339 | valid acc 0.8654 | 0.157s / epoch | 
epoch 16200 | force_w 0.000 | train loss   0.2150 | valid acc 0.9615 | 0.156s / epoch | 
epoch 16300 | force_w 0.000 | train loss   0.2122 | valid acc 0.8654 | 0.156s / epoch | 
epoch 16400 | force_w 0.000 | train loss   0.2215 | valid acc 0.9615 | 0.155s / epoch | 
epoch 16500 | force_w 0.000 | train loss   0.2081 | valid acc 0.8654 | 0.156s / epoch | 
epoch 16600 | force_w 0.000 | train loss   0.2202 | valid acc 0.9615 | 0.157s / epoch | 
epoch 16700 | force_w 0.000 | train loss   0.2104 | valid acc 0.8654 | 0.154s / epoch | 
epoch 16800 | force_w 0.000 | train loss   0.2164 | valid acc 0.9615 | 0.156s / epoch | 
epoch 16900 | force_w 0.000 | train loss   0.2112 | valid acc 0.8654 | 0.156s / epoch | 
epoch 17000 | force_w 0.000 | train loss   0.2164 | valid acc 0.9615 | 0.155s / epoch | 
epoch 17100 | force_w 0.000 | train loss   0.2058 | valid acc 0.8654 | 0.154s / epoch | 
epoch 17200 | force_w 0.000 | train loss   0.2197 | valid acc 0.9615 | 0.153s / epoch | 
epoch 17300 | force_w 0.000 | train loss   0.2074 | valid acc 0.8654 | 0.156s / epoch | 
epoch 17400 | force_w 0.000 | train loss   0.2147 | valid acc 0.9615 | 0.156s / epoch | 
epoch 17500 | force_w 0.000 | train loss   0.2082 | valid acc 0.8654 | 0.152s / epoch | 
