attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 19200 | force_w 0.000 | train loss   0.1946 | valid acc 0.9615 | 0.065s / epoch | 
epoch 19300 | force_w 0.000 | train loss   0.1954 | valid acc 0.8462 | 0.067s / epoch | 
epoch 19400 | force_w 0.000 | train loss   0.2111 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19500 | force_w 0.000 | train loss   0.1915 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19600 | force_w 0.000 | train loss   0.1972 | valid acc 0.8462 | 0.065s / epoch | 
epoch 19700 | force_w 0.000 | train loss   0.2072 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19800 | force_w 0.000 | train loss   0.1910 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19900 | force_w 0.000 | train loss   0.1980 | valid acc 0.8462 | 0.065s / epoch | 
epoch 20000 | force_w 0.000 | train loss   0.2095 | valid acc 0.9615 | 0.065s / epoch | 
epoch 20100 | force_w 0.000 | train loss   0.1918 | valid acc 0.9615 | 0.065s / epoch | 
epoch 20200 | force_w 0.000 | train loss   0.1955 | valid acc 0.8462 | 0.065s / epoch | 
epoch 20300 | force_w 0.000 | train loss   0.2093 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20400 | force_w 0.000 | train loss   0.1901 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20500 | force_w 0.000 | train loss   0.1948 | valid acc 0.8462 | 0.067s / epoch | 
epoch 20600 | force_w 0.000 | train loss   0.2047 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20700 | force_w 0.000 | train loss   0.1907 | valid acc 0.9615 | 0.065s / epoch | 
epoch 20800 | force_w 0.000 | train loss   0.1965 | valid acc 0.8462 | 0.066s / epoch | 
epoch 20900 | force_w 0.000 | train loss   0.2003 | valid acc 0.9615 | 0.066s / epoch | 
epoch 21000 | force_w 0.000 | train loss   0.1897 | valid acc 0.9615 | 0.064s / epoch | 
epoch 21100 | force_w 0.000 | train loss   0.1959 | valid acc 0.8462 | 0.067s / epoch | 
epoch 21200 | force_w 0.000 | train loss   0.1991 | valid acc 0.9615 | 0.067s / epoch | 
epoch 21300 | force_w 0.000 | train loss   0.1927 | valid acc 0.9615 | 0.066s / epoch | 
epoch 21400 | force_w 0.000 | train loss   0.1986 | valid acc 0.8462 | 0.067s / epoch | 
epoch 21500 | force_w 0.000 | train loss   0.1954 | valid acc 0.9615 | 0.066s / epoch | 
epoch 21600 | force_w 0.000 | train loss   0.1926 | valid acc 0.9615 | 0.064s / epoch | 
epoch 21700 | force_w 0.000 | train loss   0.1941 | valid acc 0.8462 | 0.065s / epoch | 
epoch 21800 | force_w 0.000 | train loss   0.1994 | valid acc 0.9615 | 0.065s / epoch | 
epoch 21900 | force_w 0.000 | train loss   0.1908 | valid acc 0.9615 | 0.066s / epoch | 
epoch 22000 | force_w 0.000 | train loss   0.1940 | valid acc 0.8462 | 0.065s / epoch | 
epoch 22100 | force_w 0.000 | train loss   0.1987 | valid acc 0.9615 | 0.064s / epoch | 
epoch 22200 | force_w 0.000 | train loss   0.1896 | valid acc 0.9615 | 0.064s / epoch | 
epoch 22300 | force_w 0.000 | train loss   0.1930 | valid acc 0.8462 | 0.067s / epoch | 
epoch 22400 | force_w 0.000 | train loss   0.1992 | valid acc 0.9615 | 0.065s / epoch | 
epoch 22500 | force_w 0.000 | train loss   0.1883 | valid acc 0.9615 | 0.064s / epoch | 
epoch 22600 | force_w 0.000 | train loss   0.1916 | valid acc 0.8462 | 0.066s / epoch | 
epoch 22700 | force_w 0.000 | train loss   0.1986 | valid acc 0.9615 | 0.066s / epoch | 
epoch 22800 | force_w 0.000 | train loss   0.1868 | valid acc 0.9615 | 0.066s / epoch | 
epoch 22900 | force_w 0.000 | train loss   0.1889 | valid acc 0.8462 | 0.066s / epoch | 
