attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch 19100 | force_w 0.000 | train loss   0.1919 | valid acc 0.9615 | 0.067s / epoch | 
epoch 19200 | force_w 0.000 | train loss   0.1938 | valid acc 0.8462 | 0.067s / epoch | 
epoch 19300 | force_w 0.000 | train loss   0.2097 | valid acc 0.9615 | 0.067s / epoch | 
epoch 19400 | force_w 0.000 | train loss   0.1858 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19500 | force_w 0.000 | train loss   0.1932 | valid acc 0.8462 | 0.068s / epoch | 
epoch 19600 | force_w 0.000 | train loss   0.2069 | valid acc 0.9615 | 0.065s / epoch | 
epoch 19700 | force_w 0.000 | train loss   0.1910 | valid acc 0.9615 | 0.065s / epoch | 
epoch 19800 | force_w 0.000 | train loss   0.1914 | valid acc 0.8462 | 0.067s / epoch | 
epoch 19900 | force_w 0.000 | train loss   0.1972 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20000 | force_w 0.000 | train loss   0.1910 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20100 | force_w 0.000 | train loss   0.1947 | valid acc 0.8462 | 0.067s / epoch | 
epoch 20200 | force_w 0.000 | train loss   0.2030 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20300 | force_w 0.000 | train loss   0.1867 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20400 | force_w 0.000 | train loss   0.1958 | valid acc 0.8462 | 0.066s / epoch | 
epoch 20500 | force_w 0.000 | train loss   0.2067 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20600 | force_w 0.000 | train loss   0.1859 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20700 | force_w 0.000 | train loss   0.1878 | valid acc 0.8462 | 0.066s / epoch | 
epoch 20800 | force_w 0.000 | train loss   0.2054 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20900 | force_w 0.000 | train loss   0.1873 | valid acc 0.9615 | 0.065s / epoch | 
epoch 21000 | force_w 0.000 | train loss   0.1903 | valid acc 0.8462 | 0.066s / epoch | 
epoch 21100 | force_w 0.000 | train loss   0.1986 | valid acc 0.9615 | 0.066s / epoch | 
epoch 21200 | force_w 0.000 | train loss   0.1839 | valid acc 0.9615 | 0.065s / epoch | 
epoch 21300 | force_w 0.000 | train loss   0.1900 | valid acc 0.8462 | 0.067s / epoch | 
epoch 21400 | force_w 0.000 | train loss   0.1985 | valid acc 0.9615 | 0.065s / epoch | 
epoch 21500 | force_w 0.000 | train loss   0.1850 | valid acc 0.9615 | 0.067s / epoch | 
epoch 21600 | force_w 0.000 | train loss   0.1897 | valid acc 0.8462 | 0.068s / epoch | 
epoch 21700 | force_w 0.000 | train loss   0.1981 | valid acc 0.9615 | 0.066s / epoch | 
epoch 21800 | force_w 0.000 | train loss   0.1868 | valid acc 0.9615 | 0.067s / epoch | 
epoch 21900 | force_w 0.000 | train loss   0.1884 | valid acc 0.8462 | 0.067s / epoch | 
epoch 22000 | force_w 0.000 | train loss   0.1932 | valid acc 0.9615 | 0.067s / epoch | 
