attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch 12200 | force_w 0.000 | train loss   0.1922 | valid acc 0.9615 | 0.063s / epoch | 
epoch 12300 | force_w 0.000 | train loss   0.1917 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12400 | force_w 0.000 | train loss   0.1899 | valid acc 0.9615 | 0.067s / epoch | 
epoch 12500 | force_w 0.000 | train loss   0.1932 | valid acc 0.9615 | 0.067s / epoch | 
epoch 12600 | force_w 0.000 | train loss   0.1884 | valid acc 0.9615 | 0.064s / epoch | 
epoch 12700 | force_w 0.000 | train loss   0.1882 | valid acc 0.9615 | 0.063s / epoch | 
epoch 12800 | force_w 0.000 | train loss   0.1926 | valid acc 0.9615 | 0.066s / epoch | 
epoch 12900 | force_w 0.000 | train loss   0.1892 | valid acc 0.9615 | 0.064s / epoch | 
epoch 13000 | force_w 0.000 | train loss   0.1873 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13100 | force_w 0.000 | train loss   0.1848 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13200 | force_w 0.000 | train loss   0.1860 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13300 | force_w 0.000 | train loss   0.1840 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13400 | force_w 0.000 | train loss   0.1854 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13500 | force_w 0.000 | train loss   0.1855 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13600 | force_w 0.000 | train loss   0.1847 | valid acc 0.9615 | 0.064s / epoch | 
epoch 13700 | force_w 0.000 | train loss   0.1838 | valid acc 0.9615 | 0.064s / epoch | 
epoch 13800 | force_w 0.000 | train loss   0.1847 | valid acc 0.9615 | 0.064s / epoch | 
epoch 13900 | force_w 0.000 | train loss   0.1844 | valid acc 0.9615 | 0.067s / epoch | 
epoch 14000 | force_w 0.000 | train loss   0.1845 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14100 | force_w 0.000 | train loss   0.1843 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14200 | force_w 0.000 | train loss   0.1839 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14300 | force_w 0.000 | train loss   0.1852 | valid acc 0.9615 | 0.065s / epoch | 
